Latitude,Longitude,City,Country,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
-85.36109990421679,-42.20923451362441,ushuaia,ar,33.8,86,75,26.4
49.42629096340397,113.69811535512065,aksha,ru,44.04,49,48,5.39
4.93063634872324,66.8642814974624,eydhafushi,mv,76.53,100,92,20.71
57.46571388965879,172.0874053743729,nikolskoye,ru,46.4,81,75,8.95
-13.421994117711463,68.28558772913635,grand gaube,mu,60.8,87,20,9.17
-24.637791064548523,149.59404397444013,biloela,au,75.09,47,0,8.63
-41.471871852928075,-162.38190349017157,avarua,ck,77,50,40,18.34
-8.642692377156493,108.39016258923863,kawalu,id,64.65,98,68,1.7
79.75874212583733,-82.43095522662456,qaanaaq,gl,16.86,100,0,15.68
14.081398228406854,14.682096887950536,mao,td,72.48,100,90,6.93
18.42495114517824,71.16201946815059,alibag,in,84.2,70,40,3.36
48.11792092314087,-157.59644238680642,kodiak,us,89.96,50,75,21.92
72.26332918312656,-142.45207549379614,aklavik,ca,23.92,92,90,6.93
-45.4038506929014,67.79001473100368,saint-philippe,re,52.3,93,90,4.27
-71.00009363654499,-138.39965374666792,rikitea,pf,67.98,100,48,18.03
38.68212017101612,10.59064937857542,sinnai,it,64.42,68,0,10.29
38.72073972600023,-120.92819169676908,cameron park,us,78.85,39,40,12.75
6.004554728842692,115.37587599656541,papar,my,78.8,88,75,5.82
-27.36138195962514,64.74854248778846,mahebourg,mu,60.8,87,20,9.17
57.546994628644654,-174.50150943454554,provideniya,ru,50,81,90,13.42
57.19499094184019,-131.28188110671846,ketchikan,us,50.72,8,1,11.41
-63.630844633561296,-178.90688376312528,vaini,to,67.62,95,8,2.48
-38.95056520328279,140.80143586699336,portland,au,64.13,42,75,9.17
12.814059584482038,49.360350356108285,qandala,so,66.54,97,0,3.27
-49.171147956298,-39.716042257029954,chuy,uy,54.39,83,24,7.74
-20.13498667305852,132.82403404664012,alice springs,au,66.2,59,0,11.41
70.30262969843366,-92.0991318268261,thompson,ca,33.8,50,40,16.11
51.43464799432596,-107.17219699784219,outlook,ca,38.01,54,48,14.23
-47.18304739278743,5.665333775084747,cape town,za,57.2,67,0,13.87
26.755164510425374,-31.08440183172175,ponta do sol,cv,73.38,66,24,2.59
-17.517439453517085,9.347910523080344,namibe,ao,66.81,99,0,5.84
-73.98633811158086,162.05467999989338,bluff,nz,75.63,53,0,8.75
-6.059086546017582,-34.41762373177096,nisia floresta,br,80.6,69,40,13.87
-40.98718749492559,-106.25811445254635,ancud,cl,45.39,82,32,5.17
20.857240267429674,3.110786351176614,tessalit,ml,69.78,29,0,6.85
59.63526114283488,-73.44266710822598,iqaluit,ca,33.8,80,90,19.46
48.96112418203401,-116.5590448355986,creston,ca,86.67,58,40,23.04
64.6146439445113,75.5024568044337,gubkinskiy,ru,44.22,97,92,12.77
79.4599201340317,-166.40368847771657,barrow,us,52.05,32,0,10.54
-30.57564393493957,-82.77620396010752,constitucion,cl,77,33,40,4.7
-16.06657144631974,81.20531078590903,hithadhoo,mv,83.37,100,64,23.73
87.57565721529414,-140.82283278031363,tuktoyaktuk,ca,24.8,79,75,11.41
-89.78230590463835,19.76153909476531,bredasdorp,za,48.2,76,0,3.36
11.567005575203936,-102.68454334495955,acapulco,mx,84.2,83,75,6.93
-38.72810009085528,150.58266996668243,lakes entrance,au,52.32,100,92,2.71
4.326195384873088,-136.73407997457576,atuona,pf,79.41,100,0,13.67
-3.1207970820047706,-22.366495161416964,georgetown,sh,82.4,83,20,6.93
88.80726959768845,-45.33671475256105,upernavik,gl,31.08,100,76,9.75
16.81835779687907,-131.30652731008632,guerrero negro,mx,74.46,77,0,9.08
55.445048619257335,-140.41318749536072,sitka,us,90.3,34,0,7.63
-56.90775788033256,85.25275292309288,busselton,au,65.28,89,0,21.27
24.15154941022155,-56.06656657452744,codrington,ag,71.94,73,8,3.6
27.13623857142197,-78.8061438062852,freeport,bs,86,62,20,11.41
64.16361878094875,-0.9527885998596162,brae,gb,52.05,93,92,18.34
-88.3827057631544,-167.17142362271665,mataura,pf,50.34,95,92,14.45
49.64143489170027,-120.87500806379853,princeton,ca,86.43,49,40,21.92
-12.330863395449853,18.43590341403865,camacupa,ao,62.76,66,48,5.84
-54.77882525470674,128.50454856746512,mount gambier,au,54.12,72,20,7.29
-28.90602186842311,-15.470431023762359,jamestown,sh,50.34,97,8,12.21
-60.40255015752876,115.14232803423994,albany,au,60.55,74,90,5.82
5.260354361387158,148.5467265185955,lorengau,pg,84.72,98,8,0.92
-2.589473526705106,-110.78378824240981,puerto ayora,ec,77,65,75,4.7
-46.9328811316654,159.89360030795928,tuatapere,nz,45.12,100,88,11.99
39.89017316889104,-67.05389639373878,nantucket,us,59.65,89,90,9.17
51.56596439123618,143.04585931833685,katangli,ru,50.43,83,0,16.91
25.184819207708983,-98.58343148529417,san fernando,mx,82.4,83,20,8.05
73.5939456087579,-116.90708745999126,yellowknife,ca,24.8,58,90,4.7
-38.2653694317468,-64.54149411889492,santa rosa,ar,50.79,35,0,6.85
-40.13947421937046,-75.4242597692744,valdivia,cl,50.61,74,0,8.97
-36.29452105649385,153.0634304330124,kiama,au,55.4,100,75,11.41
35.562401181353025,-131.68492218387556,fortuna,us,65.3,68,0,5.82
55.341928011615636,-6.658415365379113,coleraine,gb,55.4,93,90,8.05
-66.35627049372916,42.11154849109067,port alfred,za,61.05,94,88,5.61
26.976186899294447,-1.775559975831868,adrar,dz,77,23,0,14.99
24.925158053917826,-83.77885724016102,key west,us,35.78,100,90,20.8
-79.98675805865466,150.93142238089138,hobart,au,48.2,61,20,10.29
47.700791345528074,-34.41415413845107,lagoa,pt,71.6,73,0,3.36
-34.27223851742921,134.7648388335095,port lincoln,au,56.01,91,56,14.12
73.32556735812125,142.85070564005696,deputatskiy,ru,21.36,82,24,3.71
0.9778812689361729,28.090400373098163,wamba,cd,65.91,98,8,2.15
41.77773842427311,-101.1859903554565,north platte,us,73.04,41,1,34.45
-10.57805433690649,31.133883442683725,kasama,zm,73.92,45,88,10.54
-36.56726824307064,-23.847118583422343,arraial do cabo,br,77,78,20,12.75
68.48198850883335,69.05593123603109,aksarka,ru,34.41,96,36,9.64
-14.785584769595857,-53.5857588842445,guiratinga,br,76.26,77,44,3.15
-48.78214120778259,171.15984109835193,kaitangata,nz,57.09,66,92,17.47
15.927858870947588,153.40992877200182,kavieng,pg,85.35,100,24,3.15
-32.33139858360118,32.539069429493935,margate,za,48.2,61,20,10.29
39.4054109136344,159.29230197689503,severo-kurilsk,ru,47.64,95,48,21.94
62.66701776510891,-177.13180375323185,egvekinot,ru,44.04,96,92,8.19
-49.76993260026099,11.957777355702916,hermanus,za,44.58,89,0,5.17
48.49842510697846,92.43828692400791,ulaangom,mn,20.01,75,20,2.37
24.38176548137416,21.010081480573717,jalu,ly,84.63,26,44,13.78
25.35139623811213,114.52774756677047,xiongzhou,cn,55.4,100,0,2.24
31.277062678115442,-78.6104695615171,mount pleasant,us,87.19,50,1,11.41
47.55348310912146,-8.094597042139156,plouzane,fr,54.5,100,90,6.93
-53.077809899972465,75.59448272540808,souillac,mu,55.22,76,0,2.24
74.63223850096017,-170.0876699397404,lavrentiya,ru,46.11,90,92,24.74
84.78050825323734,83.31905225285044,dikson,ru,38.55,100,88,19.26
-67.11066283352693,-88.40183389300933,punta arenas,cl,46.4,49,20,26.4
21.135604275117373,57.56904036675135,nizwa,om,66.36,41,0,4.61
